Volatility 3 Framework 2.0.0
Progress:  100.00               PDB scanning finished
PID     PPID    ImageFileName   Offset(V)       Threads Handles SessionId       Wow64   CreateTime      ExitTime        File output
696     404     svchost.exe     0x3e6a1d28      9       254     0       False   2021-11-30 22:05:06.000000      N/A     Disabled
748     404     svchost.exe     0x3e6a6d28      19      367     0       False   2021-11-30 22:05:06.000000      N/A     Disabled
404     352     services.exe    0x3e6ab588      24      265     0       False   2021-11-30 22:05:04.000000      N/A     Disabled
904     404     svchost.exe     0x3e6bcd28      44      842     0       False   2021-11-30 22:05:06.000000      N/A     Disabled
1124    404     sppsvc.exe      0x3e6d9d28      6       152     0       False   2021-11-30 22:05:09.000000      N/A     Disabled
1920    404     svchost.exe     0x3e6dad28      6       94      0       False   2021-11-30 22:05:09.000000      N/A     Disabled
864     404     svchost.exe     0x3e6f4030      22      433     0       False   2021-11-30 22:05:06.000000      N/A     Disabled
1016    404     svchost.exe     0x3e719368      24      354     0       False   2021-11-30 22:05:06.000000      N/A     Disabled
1108    404     svchost.exe     0x3e736030      21      367     0       False   2021-11-30 22:05:06.000000      N/A     Disabled
1256    864     dwm.exe 0x3e77a030      6       85      1       False   2021-11-30 22:05:06.000000      N/A     Disabled
1272    1248    explorer.exe    0x3e781030      34      669     1       False   2021-11-30 22:05:06.000000      N/A     Disabled
1376    404     taskhost.exe    0x3e7b0320      10      156     1       False   2021-11-30 22:05:07.000000      N/A     Disabled
1384    404     svchost.exe     0x3e7b1030      26      323     0       False   2021-11-30 22:05:07.000000      N/A     Disabled
1456    1272    VBoxTray.exe    0x3e7eea70      17      151     1       False   2021-11-30 22:05:07.000000      N/A     Disabled
1868    404     cygrunsrv.exe   0x3e7fbd28      7       107     0       False   2021-11-30 22:05:07.000000      N/A     Disabled
312     304     csrss.exe       0x3e8dbb00      8       473     0       False   2021-11-30 22:05:03.000000      N/A     Disabled
420     352     lsm.exe 0x3e91d838      12      188     0       False   2021-11-30 22:05:04.000000      N/A     Disabled
412     352     lsass.exe       0x3e91fd28      9       647     0       False   2021-11-30 22:05:04.000000      N/A     Disabled
352     304     wininit.exe     0x3ee4c750      7       90      0       False   2021-11-30 22:05:04.000000      N/A     Disabled
1316    404     spoolsv.exe     0x3eecfb00      16      298     0       False   2021-11-30 22:05:07.000000      N/A     Disabled
364     344     csrss.exe       0x3f154818      7       179     1       False   2021-11-30 22:05:04.000000      N/A     Disabled
264     1868    cygrunsrv.exe   0x3f1e5620      0       -       0       False   2021-11-30 22:05:08.000000      2021-11-30 22:05:08.000000      Disabled
3352    2388    conhost.exe     0x3f452478      2       50      2       False   2021-11-30 22:05:29.000000      N/A     Disabled
3340    2676    DumpIt.exe      0x3f452d28      2       37      2       False   2021-11-30 22:05:29.000000      N/A     Disabled
3352    2388    conhost.exe     0x3f4f2478      2       50      2       False   2021-11-30 22:05:29.000000      N/A     Disabled
3340    2676    DumpIt.exe      0x3f4f2d28      2       37      2       False   2021-11-30 22:05:29.000000      N/A     Disabled
3352    2388    conhost.exe     0x3f592478      2       50      2       False   2021-11-30 22:05:29.000000      N/A     Disabled
3340    2676    DumpIt.exe      0x3f592d28      2       37      2       False   2021-11-30 22:05:29.000000      N/A     Disabled

