Volatility 3 Framework 2.0.0

PID	Process	Offset	HandleValue	Type	GrantedAccess	Name
4	System	0x8508b840	0x88	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\SOFTWARE.LOG2
4	System	0x8e6b04d0	0x8c	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E972-E325-11CE-BFC1-08002BE10318}\0001
4	System	0x8e6fdc88	0x90	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDPROXY
4	System	0x8515cf80	0x94	File	0x3	\Device\HarddiskVolume1\Windows\System32\config\SYSTEM.LOG2
4	System	0x8506a050	0x98	File	0x12008b	\Device\HarddiskVolume1\Windows\System32\wdi\LogFiles\WdiContextLog.etl.003
4	System	0x851375c0	0x9c	File	0x20003	\Device\HarddiskVolume1\Windows\System32\config\SYSTEM
4	System	0x856894d8	0xa0	File	0x12019f	\Device\HarddiskVolume1\Windows\System32\config\TxR\{6cced301-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000001.regtrans-ms
4	System	0x85021a28	0xa4	TmRm	0x12007f	
4	System	0x85021dc8	0xa8	TmTm	0xf003f	
4	System	0x850e56a0	0xac	TmRm	0x1f007f	
4	System	0x85021918	0xb0	File	0x12019f	\Device\clfsKtmLog
4	System	0x850e50d0	0xb4	File	0x13019f	\Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0x8e9b39b0	0xb8	File	0x13019f	\Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0x90634620	0xbc	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000003
4	System	0x850e5028	0xc0	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
4	System	0x84ff0100	0xc4	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000004
4	System	0x850d3240	0xc8	File	0x12019f	\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog.blf
4	System	0x906346c8	0xcc	File	0x12019f	\Device\clfsTxfLog
4	System	0x851370b0	0xd0	File	0x12019f	\Device\HarddiskVolume1\Windows\System32\config\TxR\{6cced301-6e01-11de-8bed-001e0bcd1824}.TM.blf
4	System	0x85021338	0xd4	File	0x1	\Device\HarddiskVolume1
4	System	0x87bb3ba0	0xd8	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0x8413a940	0xdc	Process	0x1440	System Pid 4
4	System	0x87b09c90	0xe0	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\POLICIES
4	System	0x87a60428	0xe4	Key	0x2	MACHINE\SYSTEM\RNG
4	System	0x87bba0c0	0xe8	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001
4	System	0x87bfa450	0xec	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\131
4	System	0x87a01248	0xf0	Token	0xf01ff	
4	System	0x87b88c48	0xf4	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\1
4	System	0x87ae7350	0xf8	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\NETWORKPROVIDER\ORDER
4	System	0x87bef858	0xfc	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\PCW\SECURITY
4	System	0x87bc6fd0	0x100	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\23
4	System	0x87ae2c30	0x104	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\24
4	System	0x87b3dbe8	0x108	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\6
4	System	0x87afde30	0x10c	Key	0xb	MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDIS\IFTYPES\71
4	System	0x8e6fe6a8	0x110	Key	0xf003f	MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E972-E325-11CE-BFC1-08002BE10318}\0000
4	System	0x87bf1c70	0x114	Key	0x20019	MACHINE\SYSTEM\CONTROLSET001\SERVICES\MUP
4	System	0x87befb28	0x118	Key	0x10	MACHINE\SYSTEM\CONTROLSET001\CONTROL\FILESYSTEM
4	System	0x8567ae58	0x11c	File	0x12019f	\Device\HarddiskVolume1\Windows\System32\config\TxR\{6cced301-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000002.regtrans-ms
4	System	0x856c6458	0x120	File	0x12008b	\Device\HarddiskVolume1\Windows\Prefetch\ReadyBoot\ReadyBoot.etl
4	System	0x87a5e060	0x124	Key	0x20019	MACHINE\HARDWARE\DESCRIPTION\SYSTEM\BIOS
4	System	0x856cbc78	0x128	File	0x140003	\Device\HarddiskVolume1\pagefile.sys
4	System	0x856cc858	0x12c	File	0x12019f	\Device\clfs\SystemRoot\System32\Config\TxR\{6cced301-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x87b3c5c8	0x130	Directory	0xf000f	Harddisk0
4	System	0x856a7f80	0x134	File	0x100001	\Device\KsecDD
4	System	0x856c5660	0x138	TmRm	0x1f007f	
4	System	0x85689c90	0x13c	File	0x13008b	\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTDiagLog.etl
4	System	0x8517d6b0	0x140	Event	0x2	EFSInitEvent
4	System	0x856cc4c0	0x144	File	0x12019f	\Device\clfs\SystemRoot\System32\Config\TxR\{6cced301-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x856cc028	0x148	TmRm	0x1f007f	
4	System	0x856c8020	0x14c	TmTm	0xf003f	
4	System	0x853931a8	0x150	File	0x10003	\Device\HarddiskVolume1\Windows\System32\config\RegBack\SOFTWARE
4	System	0x96215250	0x154	Key	0x10	MACHINE\SOFTWARE\POLICIES\MICROSOFT\WINDOWS
4	System	0x8567b780	0x158	Session	0x1	Session0
4	System	0x856c6420	0x15c	Event	0x1f0003	UniqueSessionIdEvent
4	System	0x8b872220	0x160	File	0x120089	\Device\HarddiskVolume1\Windows\System32\en-US\win32k.sys.mui
4	System	0x96261ee8	0x164	Section	0xf001f	Win32kCrossSessionGlobals
4	System	0x856c3b68	0x168	File	0x12019f	\Device\Tcp
4	System	0x856d9460	0x16c	File	0x10003	\Device\HarddiskVolume1\Windows\System32\config\RegBack\DEFAULT
4	System	0x856d5620	0x170	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\DEFAULT.LOG1
4	System	0x856d75d8	0x174	File	0x2020003	\Device\HarddiskVolume1\Windows\System32\config\DEFAULT
4	System	0x856da2b0	0x178	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\DEFAULT.LOG2
4	System	0x87a096c0	0x17c	Section	0xf001f	PhysicalMemory
4	System	0x841a5798	0x180	File	0x1200a9	\Device\HarddiskVolume1\Windows\ehome\malgunmc.ttf
4	System	0x9625cb30	0x184	Directory	0x4	WindowStations
4	System	0x84f53ca0	0x188	Session	0x1	Session1
4	System	0x841ad5b0	0x18c	File	0x1200a9	\Device\HarddiskVolume1\Windows\ehome\WTVGOTHIC-S.ttc
4	System	0x84f8da40	0x190	File	0x1200a9	\Device\HarddiskVolume1\Windows\ehome\WTVGOTHIC-S.ttc
4	System	0x856df5f8	0x194	Event	0x1f0003	UniqueInteractiveSessionIdEvent
4	System	0x84f89a18	0x198	ALPC Port	0x1f0001	
4	System	0x84f89780	0x19c	IoCompletion	0x1f0003	
4	System	0x9627a600	0x1a0	Token	0xe	
4	System	0x84f8d2f0	0x1a4	Thread	0x1fffff	Tid 384 Pid 4
4	System	0x8504c750	0x1a8	Process	0x2a	System Pid 352
4	System	0x857c12e0	0x1ac	File	0x13008b	\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-Application.etl
4	System	0x87a54300	0x1b0	Directory	0x4	WindowStations
4	System	0x84fa72a0	0x1b4	File	0x1200a9	\Device\HarddiskVolume1\Windows\ehome\malgunmc.ttf
4	System	0x8571fd28	0x1b8	Process	0x1438	System Pid 412
4	System	0x857bd738	0x1bc	File	0x13008b	\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventlog-Security.etl
4	System	0x857c3f80	0x1c0	File	0x13008b	\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTUBPM.etl
4	System	0x84f54638	0x1c4	File	0x10003	\Device\HarddiskVolume1\Windows\System32\config\RegBack\SAM
4	System	0x857c0b68	0x1c8	File	0x13008b	\Device\HarddiskVolume1\Windows\System32\LogFiles\WMI\RtBackup\EtwRTEventLog-System.etl
4	System	0x84fb5af8	0x1cc	Desktop	0xf0003	Disconnect
4	System	0x85871038	0x1d0	ALPC Port	0x1f0001	
4	System	0x858ab588	0x1d8	Process	0x2a	System Pid 404
4	System	0x8571fd28	0x1dc	Process	0x28	System Pid 412
4	System	0x85056a50	0x1e0	ALPC Port	0x1f0001	
4	System	0x8571fd28	0x1e4	Process	0x2a	System Pid 412
4	System	0x85065028	0x1e8	ALPC Port	0x1f0001	
4	System	0x8571fd28	0x1ec	Process	0x2a	System Pid 412
4	System	0x85801a00	0x1f0	File	0x10003	\Device\HarddiskVolume1\Windows\System32\config\RegBack\SECURITY
4	System	0x857fbaf0	0x1f4	File	0x2020003	\Device\HarddiskVolume1\Windows\System32\config\SECURITY
4	System	0x857fee88	0x1f8	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\SECURITY.LOG1
4	System	0x857fe540	0x1fc	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\SECURITY.LOG2
4	System	0x85875560	0x200	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\SAM.LOG1
4	System	0x8587e480	0x204	File	0x2020003	\Device\HarddiskVolume1\Windows\System32\config\SAM
4	System	0x8587cd58	0x208	File	0x2000003	\Device\HarddiskVolume1\Windows\System32\config\SAM.LOG2
4	System	0x85875260	0x20c	Process	0x2a	System Pid 496
4	System	0x8587fc18	0x210	ALPC Port	0x1f0001	
4	System	0xa1d0f558	0x214	Token	0xe	
4	System	0x858ab588	0x218	Process	0x2a	System Pid 404
4	System	0x85886f88	0x21c	Event	0x1f0003	EventShutDownCSRSS
4	System	0x85bcd8a0	0x220	File	0x1200a9	\Device\HarddiskVolume1\Windows\ehome\WTVGOTHIC-S.ttc
4	System	0x858388b0	0x224	ALPC Port	0x1f0001	
4	System	0x85813108	0x228	Session	0x1	Session2
4	System	0x81e4cc58	0x22c	Directory	0x4	WindowStations
4	System	0xa7a0e2a8	0x230	Token	0xe	
4	System	0x86793728	0x234	Process	0x2a	System Pid 2416
4	System	0x8585bf80	0x238	File	0x1200a9	\Device\HarddiskVolume1\Windows\ehome\malgunmc.ttf
4	System	0x85813108	0x23c	Session	0x0	Session2
4	System	0x85813108	0x240	Session	0x0	Session2
4	System	0x85811030	0x244	Process	0x2a	System Pid 576
4	System	0x858075a0	0x248	Event	0x1f0003	EventShutDownCSRSS
4	System	0x8587aa88	0x24c	Desktop	0xf0003	Disconnect
4	System	0x858ab588	0x250	Process	0x2a	System Pid 404
4	System	0x8571d838	0x254	Process	0x2a	System Pid 420
4	System	0x85894530	0x258	Process	0x2a	System Pid 640
4	System	0x85809a88	0x25c	ALPC Port	0x1f0001	
4	System	0x85894530	0x260	Process	0x2a	System Pid 640
4	System	0x85811030	0x264	Process	0x2a	System Pid 576
4	System	0x8589d390	0x268	File	0x12019f	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM.blf
4	System	0x8580e2c0	0x26c	File	0x3	\Device\HarddiskVolume1
4	System	0x8589da70	0x270	File	0x2020003	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT
4	System	0x8589d448	0x274	File	0x2000003	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG1
4	System	0x8589f928	0x278	File	0x2000003	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT.LOG2
4	System	0x8589e530	0x27c	File	0x12019f	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000001.regtrans-ms
4	System	0x8589f038	0x280	File	0x12019f	\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000002.regtrans-ms
4	System	0x84fb3c80	0x284	TmRm	0x1f007f	
4	System	0x8589abd0	0x288	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x8589d038	0x28c	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Windows\ServiceProfiles\NetworkService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x8589f370	0x290	TmRm	0x1f007f	
4	System	0x8589f6b8	0x294	TmTm	0xf003f	
4	System	0xa2001b30	0x298	Directory	0xf000f	00000000-000003e4
4	System	0x85811030	0x29c	Process	0x2a	System Pid 576
4	System	0x858a1d28	0x2a0	Process	0x2a	System Pid 696
4	System	0xa1dba528	0x2a4	Key	0x9	MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\QUOTA SYSTEM
4	System	0x858a1d28	0x2a8	Process	0x2a	System Pid 696
4	System	0xa2004688	0x2ac	Token	0xf01ff	
4	System	0x96210688	0x2b0	Token	0xf01ff	
4	System	0x858ab588	0x2b4	Process	0x28	System Pid 404
4	System	0x858127f0	0x2b8	File	0x12019f	\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM.blf
4	System	0x85815c98	0x2bc	File	0x2020003	\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT
4	System	0x85813d58	0x2c0	File	0x2000003	\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG1
4	System	0x858162a8	0x2c4	File	0x2000003	\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT.LOG2
4	System	0x858bfba8	0x2c8	File	0x12019f	\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000001.regtrans-ms
4	System	0x85817868	0x2cc	File	0x12019f	\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000002.regtrans-ms
4	System	0x858bf580	0x2d0	TmRm	0x1f007f	
4	System	0x858a3b08	0x2d4	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x85817d18	0x2d8	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x858bbea8	0x2dc	TmRm	0x1f007f	
4	System	0x85817dc8	0x2e0	TmTm	0xf003f	
4	System	0xa174a3d8	0x2e4	Directory	0xf000f	00000000-000003e5
4	System	0x858a6d28	0x2e8	Process	0x2a	System Pid 748
4	System	0x858a6d28	0x2ec	Process	0x28	System Pid 748
4	System	0x858f4030	0x2f0	Process	0x2a	System Pid 864
4	System	0xa1749660	0x2f4	Token	0xf01ff	
4	System	0x858a6d28	0x2f8	Process	0x28	System Pid 748
4	System	0x858f4030	0x2fc	Process	0x2a	System Pid 864
4	System	0x858a6d28	0x300	Process	0x28	System Pid 748
4	System	0x858bcd28	0x304	Process	0x2a	System Pid 904
4	System	0x858f4030	0x308	Process	0x2a	System Pid 864
4	System	0x85904d58	0x30c	File	0x120089	\Device\HarddiskVolume1\Windows\CSC
4	System	0x858f4030	0x310	Process	0x2a	System Pid 864
4	System	0x85904320	0x314	File	0x120089	\Device\HarddiskVolume1\Windows\CSC\v2.0.6
4	System	0x85905638	0x318	File	0x12019f	\Device\HarddiskVolume1\Windows\CSC\v2.0.6\temp
4	System	0x85907908	0x31c	File	0x12019f	\Device\HarddiskVolume1\Windows\CSC\v2.0.6\pq
4	System	0x85905da8	0x320	File	0x100081	\Device\HarddiskVolume1ꈠ
4	System	0x85906c10	0x324	File	0x120089	\Device\HarddiskVolume1\Windows\CSC\v2.0.6\namespace
4	System	0x859086f0	0x328	Thread	0x1fffff	Tid 968 Pid 4
4	System	0x85908408	0x32c	Thread	0x1fffff	Tid 972 Pid 4
4	System	0x85902ae0	0x330	File	0x100001	\Device\HarddiskVolume1ꈥ
4	System	0x85919368	0x334	Process	0x2a	System Pid 1016
4	System	0x85919368	0x338	Process	0x2a	System Pid 1016
4	System	0xa2164b08	0x33c	Key	0x2001f	MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\GROUP POLICY\STATE\MACHINE
4	System	0x85895860	0x340	Event	0x1f0003	
4	System	0x859287a0	0x344	File	0x12019f	\Device\Tcp
4	System	0x8589b100	0x348	Event	0x1f0003	
4	System	0x87ae96c0	0x34c	Key	0x2001f	MACHINE\SOFTWARE\MICROSOFT\WINDOWS\CURRENTVERSION\GROUP POLICY\STATE\MACHINE
4	System	0x85936030	0x350	Process	0x2a	System Pid 1108
4	System	0x85939108	0x354	File	0x12019f	\Device\HarddiskVolume1\Users\IEUser\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM.blf
4	System	0x8517d7d0	0x358	File	0x2020003	\Device\HarddiskVolume1\Users\IEUser\NTUSER.DAT
4	System	0x85933978	0x35c	File	0x2000003	\Device\HarddiskVolume1\Users\IEUser\ntuser.dat.LOG1
4	System	0xa21a2208	0x360	Directory	0xf000f	00000000-0000d8fc
4	System	0x85937f80	0x364	File	0x2000003	\Device\HarddiskVolume1\Users\IEUser\ntuser.dat.LOG2
4	System	0x85939648	0x368	File	0x12019f	\Device\HarddiskVolume1\Users\IEUser\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000001.regtrans-ms
4	System	0x85879578	0x36c	File	0x12019f	\Device\HarddiskVolume1\Users\IEUser\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TMContainer00000000000000000002.regtrans-ms
4	System	0x858caea8	0x370	TmRm	0x1f007f	
4	System	0x8593ad58	0x374	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Users\IEUser\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x8593a7e0	0x378	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Users\IEUser\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
4	System	0x859c1978	0x37c	TmRm	0x1f007f	
4	System	0x85939a18	0x380	TmTm	0xf003f	
4	System	0x858ca500	0x384	File	0x12019f	\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat{ea449359-608c-11e5-b67a-00155d626c6c}.TM.blf
4	System	0x8593aeb8	0x388	File	0x2020003	\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat
4	System	0x85939dd0	0x38c	File	0x2000003	\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1
4	System	0x858ca998	0x390	File	0x2000003	\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG2
4	System	0x858cac98	0x394	File	0x12019f	\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat{ea449359-608c-11e5-b67a-00155d626c6c}.TMContainer00000000000000000001.regtrans-ms
4	System	0x84f9b878	0x398	File	0x12019f	\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat{ea449359-608c-11e5-b67a-00155d626c6c}.TMContainer00000000000000000002.regtrans-ms
4	System	0x8593f418	0x39c	TmRm	0x1f007f	
4	System	0x859c1b30	0x3a0	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat{ea449359-608c-11e5-b67a-00155d626c6c}.TM
4	System	0x8593d918	0x3a4	File	0x12019f	\Device\clfs\Device\HarddiskVolume1\Users\IEUser\AppData\Local\Microsoft\Windows\UsrClass.dat{ea449359-608c-11e5-b67a-00155d626c6c}.TM
4	System	0x8593f5e8	0x3a8	TmRm	0x1f007f	
4	System	0x8593fdc8	0x3ac	TmTm	0xf003f	
4	System	0x85b86898	0x3b0	File	0x12019f	\Device\Tcp
4	System	0x85b66ad8	0x3b4	Process	0x2a	System Pid 2160
4	System	0x858bcd28	0x3b8	Process	0x2a	System Pid 904
4	System	0x850cfb00	0x3bc	Process	0x2a	System Pid 1316
4	System	0x85bed760	0x3c0	Process	0x2a	System Pid 2304
4	System	0x85981030	0x3c4	Process	0x2a	System Pid 1272
4	System	0xa2bcb480	0x3c8	Directory	0xf000f	Http
4	System	0x8597a030	0x3cc	Process	0x2a	System Pid 1256
4	System	0xa2133030	0x3d0	Token	0xf01ff	
4	System	0x859944e8	0x3d4	Thread	0x1fffff	Tid 1304 Pid 4
4	System	0x841b0228	0x3d8	Event	0x1	LowMemoryCondition
4	System	0x859947c0	0x3dc	Thread	0x1fffff	Tid 1300 Pid 4
4	System	0x85994210	0x3e0	Thread	0x1fffff	Tid 1308 Pid 4
4	System	0xa2bcdfd0	0x3e4	Key	0x2001f	MACHINE\SYSTEM\CONTROLSET001\SERVICES\HTTP\PARAMETERS\URLACLINFO
4	System	0x850cfb00	0x3e8	Process	0x2a	System Pid 1316
4	System	0x859b1030	0x3ec	Process	0x2a	System Pid 1384
4	System	0x859eea70	0x3f0	Process	0x2a	System Pid 1456
4	System	0x859b0320	0x3f4	Process	0x2a	System Pid 1376
4	System	0x859eea70	0x3f8	Process	0x2a	System Pid 1456
4	System	0x85b2d9c8	0x3fc	File	0x12019f	\Device\Udp
4	System	0xa2ef0030	0x400	Token	0xe	
4	System	0x859e9d90	0x404	ALPC Port	0x1f0001	
4	System	0xa2ee8030	0x408	Token	0xe	
4	System	0x859ecb58	0x40c	ALPC Port	0x1f0001	
4	System	0xa2ef1030	0x410	Token	0xe	
4	System	0xa2ef25b8	0x414	Token	0xe	
4	System	0xa2ef85f8	0x418	Token	0xe	
4	System	0xa2ef6ac0	0x41c	Token	0xe	
4	System	0xa2ef2030	0x420	Token	0xe	
4	System	0xa2ef1ac0	0x424	Token	0xe	
4	System	0xa2efb030	0x428	Token	0xe	
4	System	0xa2efa030	0x42c	Token	0xe	
4	System	0x85a3f8d8	0x430	Process	0x2a	System Pid 1656
4	System	0x859eaa78	0x434	File	0x120116	\Device\Mup
4	System	0x859e84b8	0x438	Event	0x100003	LanmanServerAnnounceEvent
4	System	0x85a3f8d8	0x43c	Process	0x2a	System Pid 1656
4	System	0x911fed48	0x440	Thread	0x0	Tid 1564 Pid 4
4	System	0x859f7d40	0x444	File	0x120116	\Device\Mup
4	System	0x85936030	0x448	Process	0x2a	System Pid 1108
4	System	0x85a2eba8	0x44c	Process	0x2a	System Pid 1636
4	System	0x85a4b6b0	0x450	Process	0x2a	System Pid 1708
4	System	0x85a449b8	0x454	Process	0x2a	System Pid 1684
4	System	0x85a4b6b0	0x458	Process	0x2a	System Pid 1708
4	System	0x85a2eba8	0x45c	Process	0x2a	System Pid 1636
4	System	0x859b1030	0x460	Process	0x2a	System Pid 1384
4	System	0x85a52b00	0x464	Process	0x2a	System Pid 1748
4	System	0x85a5b9e0	0x468	Process	0x2a	System Pid 1784
4	System	0x85a5b9e0	0x46c	Process	0x2a	System Pid 1784
4	System	0xa7a68550	0x470	Directory	0xf000f	00000000-00015bdb
4	System	0x85a52b00	0x474	Process	0x2a	System Pid 1748
